First,Last,College,Department,Title,Degree,Institution
Hunter,Aku,ACOB,Accounting,Assistant Professor,ABD,University of Oklahoma
Nicholas,Granado,ACOB,Accounting,Associate Professor of Practice,J.D.,George Washington University Law School
Ginyou,Hu,ACOB,Economics,Assistant Professor,ABD,Rice University
MD Shahedur,Chowdhury,ACOB,Finance,Assistant Professor of Practice,,
Fangyu,Lin,ACOB,Information Systems & Cyber Security,Assistant Professor,Ph.D.,The University of Arizona
Ilkay Nehir,Tanyel,ACOB,Information Systems & Cyber Security,Assistant Professor,ABD,University of Cincinnati
Steven,Ullman,ACOB,Information Systems & Cyber Security,Assistant Professor,Ph.D.,The University of Arizona
Emadeldin,Elgamal,ACOB,Information Systems & Cyber Security,Associate Professor of Practice,Ph.D.,Old Dominion University
Frankie,Grullon,ACOB,Information Systems & Cyber Security,Assistant Professor of Practice,Ph.D.,University of Fairfax
Akalanka Bandara,Mailewa,ACOB,Information Systems & Cyber Security,Associate Professor of Practice,Ph.D.,Texas Tech University
Peter,Amah,ACOB,Management,Associate Professor of Practice,Ph.D.,Gonzaga University
Jeffrey,Kropp,ACOB,Management,Assistant Professor of Practice,,
Rodney,Lacey,ACOB,Management,Professor of Practice,Ph.D.,Northwestern University
Saidat Abidemi,Sanni,ACOB,Management Science & Statistics,Assistant Professor,Ph.D.,University of Cincinnati
Müge,Yayla-Küllü,ACOB,Management Science & Statistics,Associate Professor,Ph.D.,The University of North Carolina at Chapel Hill
Mark,Johlke,ACOB,Marketing,Professor of Practice,Ph.D.,Texas Tech University
Larisa,Kovalenko,ACOB,Marketing,Assistant Professor,Ph.D.,Texas A&M University
Kevin,Hirschi,COEHD,Bicultural-Bilingual Studies,Assistant Professor,Ph.D.,Northern Arizona University
Malvika,Behl,COEHD,Counseling,Assistant Professor,Ph.D.,The University of Toledo
Peggy,Ceballos,COEHD,Counseling,Professor,Ph.D.,University of North Texas
Lana,Trotter,COEHD,Counseling,Lecturer,,
Michael,Denton,COEHD,Educational Leadership & Policy Studies,Assistant Professor,Ph.D.,Miami University of Ohio
Janet,Solis Rodriguez,COEHD,Educational Leadership & Policy Studies,Assistant Professor,Ph.D.,The University of Texas at Austin
Hyejeong,Lee,COEHD,Interdiscplinary Learning & Teaching,Assistant Professor,Ph.D.,Indiana University Bloomington
Idalia,Nuñez,COEHD,Interdiscplinary Learning & Teaching,Associate Professor,Ph.D.,The University of Texas at Austin
Madelyn,Duffey,COEHD ,Counseling,Lecturer,,
Myron,Anderson,COEHD ,Interdisciplinary Learning & Teaching,Professor of Practice,Ph.D.,Virginia Tech
Deepti,Tagare,COEHD ,Interdiscplinary Learning & Teaching,Postdoctoral Fellow,Ph.D.,Purdue University
Carolina,Arango Vargas,COEHD/COLFA,"Race, Ethnicity, Gender & Sexuality Studies and Interdisciplinary School for Engagement",Assistant Professor,Ph.D.,Syracuse University
Jessica,Rivera,COEHD/ConTex,Educational Leadership & Policy Studies and ConTex,Postdoctoral Fellow,ABD,The Ohio State University
Myat Thinzar,Aung,COLFA,Art,Visiting Assistant Professor,Ph.D.,University of Iowa
Bobbi,Kindred,COLFA,English,Assistant Professor,Ph.D.,University of Washington
Dominique,Vargas,COLFA,English,Assistant Professor,Ph.D.,University of Notre Dame
Jennifer,Smith,COLFA,Interdisciplinary School for Engagement,Professor of Instruction,M.F.A.,Columbia University
